game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
85164,10,14,16,28,8,23,3,3,37,68,2
85165,15,12,12,17,19,14,6,0,52,43,1
85166,13,15,9,19,8,21,0,6,30,61,2
85167,14,13,14,25,10,15,3,3,41,56,2
85168,10,14,21,18,21,18,0,6,52,56,2
85169,16,21,14,14,13,13,3,3,46,51,2
85170,11,8,23,14,10,18,3,3,47,43,1
85171,15,14,14,8,13,22,6,0,48,44,1
85172,19,13,11,18,11,12,0,6,41,49,2
85173,11,19,9,20,14,15,6,0,40,54,2
85174,15,19,11,18,17,26,0,6,43,69,2
85175,20,9,18,24,19,17,3,3,60,53,1
85176,9,16,12,19,16,15,6,0,43,50,2
85177,14,12,12,15,16,15,0,6,42,48,2
85178,25,20,9,10,15,11,0,6,49,47,1
85179,24,27,12,12,13,10,0,6,49,55,2
85180,16,20,22,27,16,14,0,6,54,67,2
85181,17,21,11,14,15,15,6,0,49,50,2
85182,11,18,15,23,10,13,0,6,36,60,2
85183,16,18,24,24,17,23,6,0,63,65,2
85184,22,20,16,13,18,14,0,6,56,53,1
85185,21,23,19,11,8,19,6,0,54,53,1
85186,24,11,6,19,15,17,0,6,45,53,2
85187,15,11,19,27,11,18,0,6,45,62,2
85188,19,9,14,11,20,23,0,6,53,49,1
85189,21,9,12,11,20,14,6,0,59,34,1
85190,22,17,6,22,14,13,0,6,42,58,2
85191,16,16,12,7,11,18,0,6,39,47,2
85192,11,22,22,18,17,9,6,0,56,49,1
85193,12,18,11,9,15,19,6,0,44,46,2
85194,10,13,18,22,13,26,0,6,41,67,2
85195,16,13,16,13,14,19,0,6,46,51,2
85196,7,12,14,16,16,12,6,0,43,40,1
85197,19,14,14,22,17,16,6,0,56,52,1
85198,18,12,12,10,17,12,3,3,50,37,1
85199,11,8,13,16,9,15,6,0,39,39,0
85200,16,20,16,23,16,13,3,3,51,59,2
85201,19,29,16,16,19,17,0,6,54,68,2
85202,9,6,10,20,19,11,3,3,41,40,1
85203,5,14,13,19,12,22,6,0,36,55,2
85204,12,19,16,26,18,9,3,3,49,57,2
85205,13,22,19,21,13,21,6,0,51,64,2
85206,21,18,12,20,12,13,3,3,48,54,2
85207,11,12,11,24,13,18,3,3,38,57,2
85208,7,18,11,31,15,9,0,6,33,64,2
85209,10,19,19,20,8,19,6,0,43,58,2
85210,11,18,17,10,19,12,0,6,47,46,1
85211,12,10,18,10,14,22,0,6,44,48,2
85212,12,18,11,18,23,10,0,6,46,52,2
85213,20,13,10,16,10,19,3,3,43,51,2
85214,18,17,23,18,15,9,0,6,56,50,1
85215,8,13,15,14,13,21,0,6,36,54,2
85216,8,16,12,12,18,8,3,3,41,39,1
85217,24,12,11,16,16,10,3,3,54,41,1
85218,10,13,28,11,18,14,6,0,62,38,1
85219,13,25,24,24,10,10,6,0,53,59,2
85220,17,18,15,17,11,19,6,0,49,54,2
85221,9,13,15,14,15,23,6,0,45,50,2
85222,9,11,21,14,14,14,0,6,44,45,2
85223,16,14,20,18,11,28,3,3,50,63,2
85224,12,25,16,12,10,19,6,0,44,56,2
85225,21,16,13,10,22,12,0,6,56,44,1
85226,14,16,12,23,11,12,3,3,40,54,2
85227,9,14,18,18,20,11,0,6,47,49,2
85228,21,12,11,7,17,23,3,3,52,45,1
85229,21,23,8,14,12,15,0,6,41,58,2
85230,17,13,14,12,10,14,3,3,44,42,1
85231,11,18,18,14,19,27,3,3,51,62,2
85232,11,22,12,20,17,23,0,6,40,71,2
85233,18,22,20,12,20,11,3,3,61,48,1
85234,10,20,14,20,20,28,3,3,47,71,2
85235,18,23,14,15,13,25,6,0,51,63,2
85236,14,9,10,24,21,20,6,0,51,53,2
85237,13,7,18,22,14,23,3,3,48,55,2
85238,19,24,11,17,11,13,0,6,41,60,2
85239,10,15,9,12,14,20,3,3,36,50,2
85240,22,16,16,18,9,11,6,0,53,45,1
85241,13,19,11,16,22,9,0,6,46,50,2
85242,18,17,13,17,14,11,0,6,45,51,2
85243,13,15,13,25,15,12,0,6,41,58,2
85244,9,17,13,13,16,22,3,3,41,55,2
85245,13,16,14,13,12,19,6,0,45,48,2
85246,21,17,17,18,17,21,3,3,58,59,2
85247,6,17,20,26,15,23,0,6,41,72,2
85248,9,17,28,13,15,20,6,0,58,50,1
85249,19,14,10,10,24,11,0,6,53,41,1
85250,14,22,14,20,17,16,0,6,45,64,2
85251,9,14,10,17,12,19,6,0,37,50,2
85252,11,22,7,20,10,20,3,3,31,65,2
85253,17,27,9,20,18,22,3,3,47,72,2
85254,18,12,24,10,9,17,0,6,51,45,1
85255,20,10,12,13,12,19,6,0,50,42,1
85256,11,15,16,22,19,17,0,6,46,60,2
85257,14,18,11,11,16,15,0,6,41,50,2
85258,8,26,9,20,19,14,0,6,36,66,2
85259,15,18,7,14,11,18,6,0,39,50,2
85260,4,10,10,15,20,22,3,3,37,50,2
85261,12,14,19,11,13,12,6,0,50,37,1
85262,9,13,14,14,11,17,3,3,37,47,2
85263,10,15,14,19,17,20,6,0,47,54,2
85264,11,14,17,23,14,12,6,0,48,49,2
85265,10,17,15,20,13,17,6,0,44,54,2
85266,14,9,11,12,10,20,3,3,38,44,2
85267,9,23,14,18,17,14,0,6,40,61,2
85268,18,15,22,13,11,20,6,0,57,48,1
85269,14,12,21,14,11,17,3,3,49,46,1
85270,19,24,18,16,18,10,6,0,61,50,1
85271,11,10,10,19,8,21,0,6,29,56,2
85272,9,22,15,12,11,16,0,6,35,56,2
85273,10,12,18,16,13,4,0,6,41,38,1
85274,19,21,21,10,12,15,3,3,55,49,1
