game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
86060,19,10,19,15,15,18,6,0,59,43,1
86061,19,17,15,15,16,18,3,3,53,53,0
86062,9,19,18,18,9,9,6,0,42,46,2
86063,17,19,23,15,17,30,3,3,60,67,2
86064,13,17,22,18,23,10,0,6,58,51,1
86065,10,13,11,13,16,22,0,6,37,54,2
86066,14,18,6,8,15,24,6,0,41,50,2
86067,14,13,23,8,18,18,0,6,55,45,1
86068,19,10,20,19,17,18,0,6,56,53,1
86069,10,14,26,14,16,18,3,3,55,49,1
86070,16,14,22,10,16,7,3,3,57,34,1
86071,21,17,27,7,16,14,0,6,64,44,1
86072,16,12,11,20,9,27,6,0,42,59,2
86073,20,18,9,14,21,24,6,0,56,56,0
86074,18,11,20,9,14,21,3,3,55,44,1
86075,14,17,20,10,18,17,0,6,52,50,1
86076,20,12,24,16,14,23,6,0,64,51,1
86077,15,16,20,20,14,12,6,0,55,48,1
86078,26,10,17,20,26,14,3,3,72,47,1
86079,9,15,17,18,21,18,3,3,50,54,2
86080,11,18,24,28,14,17,0,6,49,69,2
86081,15,12,16,19,19,22,0,6,50,59,2
86082,21,14,22,11,22,22,6,0,71,47,1
86083,21,15,22,17,20,18,0,6,63,56,1
86084,22,15,13,15,10,22,6,0,51,52,2
86085,13,24,13,17,11,14,6,0,43,55,2
86086,18,19,13,22,12,16,6,0,49,57,2
86087,20,9,11,5,19,11,6,0,56,25,1
86088,18,12,7,20,9,22,0,6,34,60,2
86089,10,14,22,11,20,18,3,3,55,46,1
86090,21,12,15,22,14,19,0,6,50,59,2
86091,16,18,14,12,17,23,0,6,47,59,2
86092,11,14,16,17,25,13,0,6,52,50,1
86093,11,13,20,17,11,20,3,3,45,53,2
86094,27,14,14,9,12,9,0,6,53,38,1
86095,26,17,23,18,15,16,0,6,64,57,1
86096,16,6,19,11,14,19,6,0,55,36,1
86097,18,12,9,21,16,17,3,3,46,53,2
86098,20,18,10,8,16,25,6,0,52,51,1
86099,16,20,14,9,13,15,6,0,49,44,1
86100,21,9,15,18,30,10,0,6,66,43,1
86101,20,10,16,26,16,9,0,6,52,51,1
86102,20,18,13,19,18,17,0,6,51,60,2
86103,9,22,18,23,8,21,6,0,41,66,2
