game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
80192,18,22,14,16,17,14,3,3,52,55,2
80193,9,13,19,14,8,17,6,0,42,44,2
80194,18,15,16,27,13,19,0,6,47,67,2
80195,17,15,17,20,20,27,0,6,54,68,2
80196,9,18,22,11,16,20,6,0,53,49,1
80197,15,18,19,9,15,18,0,6,49,51,2
80198,16,12,13,7,17,22,3,3,49,44,1
80199,19,9,11,13,22,22,3,3,55,47,1
80200,24,15,17,11,17,14,6,0,64,40,1
80201,17,14,22,18,9,16,6,0,54,48,1
80202,19,18,18,11,13,17,3,3,53,49,1
80203,10,18,17,11,22,13,0,6,49,48,1
80204,14,17,8,14,16,17,6,0,44,48,2
80205,22,23,11,14,13,13,3,3,49,53,2
80206,14,18,12,21,17,19,6,0,49,58,2
80207,17,19,14,10,11,13,0,6,42,48,2
80208,21,14,18,24,15,20,3,3,57,61,2
80209,20,15,19,9,9,14,3,3,51,41,1
80210,17,25,15,17,24,15,0,6,56,63,2
80211,15,19,10,14,9,21,6,0,40,54,2
80212,21,26,15,4,10,26,6,0,52,56,2
80213,18,9,12,8,13,21,3,3,46,41,1
80214,19,20,17,12,14,18,6,0,56,50,1
80215,20,20,17,9,16,26,3,3,56,58,2
80216,13,18,22,16,16,16,0,6,51,56,2
80217,15,15,23,15,11,17,3,3,52,50,1
80218,17,16,12,18,24,24,3,3,56,61,2
80219,11,23,15,11,13,10,0,6,39,50,2
80220,23,22,22,15,11,25,6,0,62,62,0
80221,15,15,16,14,9,17,3,3,43,49,2
80222,12,19,19,19,22,14,3,3,56,55,1
80223,9,13,15,22,18,12,0,6,42,53,2
80224,10,7,13,15,23,14,0,6,46,42,1
80225,14,11,13,15,14,26,3,3,44,55,2
80226,19,15,18,14,9,11,0,6,46,46,0
80227,10,22,12,16,17,23,6,0,45,61,2
80228,10,10,16,18,17,12,0,6,43,46,2
80229,14,19,18,14,25,7,0,6,57,46,1
80230,10,20,27,17,12,11,0,6,49,54,2
80231,11,18,17,8,7,13,3,3,38,42,2
80232,10,7,14,13,14,20,6,0,44,40,1
80233,13,14,16,15,11,12,0,6,40,47,2
80234,11,16,11,11,14,5,0,6,36,38,2
80235,11,19,23,11,24,18,6,0,64,48,1
80236,26,11,13,21,6,19,6,0,51,51,0
80237,11,10,15,32,18,17,6,0,50,59,2
80238,11,14,13,10,16,12,0,6,40,42,2
80239,7,14,16,19,20,9,0,6,43,48,2
80240,12,8,11,15,21,15,0,6,44,44,0
80241,16,11,11,14,24,19,3,3,54,47,1
80242,23,19,23,20,12,15,0,6,58,60,2
80243,7,17,15,15,18,20,0,6,40,58,2
80244,13,22,20,21,22,10,0,6,55,59,2
80245,10,11,10,12,15,9,0,6,35,38,2
80246,15,16,22,21,18,9,0,6,55,52,1
80247,11,16,14,20,13,9,3,3,41,48,2
80248,23,14,15,11,27,12,3,3,68,40,1
80249,6,16,17,17,11,15,0,6,34,54,2
80250,9,19,10,13,18,16,6,0,43,48,2
80251,18,19,10,10,20,15,3,3,51,47,1
80252,25,19,15,23,17,10,6,0,63,52,1
80253,10,15,12,18,14,21,3,3,39,57,2
80254,18,19,18,15,19,17,6,0,61,51,1
80255,17,14,17,15,14,10,3,3,51,42,1
80256,12,13,12,15,27,16,0,6,51,50,1
80257,22,18,10,17,17,11,6,0,55,46,1
80258,14,16,7,15,14,15,6,0,41,46,2
80259,9,22,16,28,8,16,6,0,39,66,2
80260,12,14,20,15,22,21,0,6,54,56,2
80261,12,24,14,13,21,10,0,6,47,53,2
80262,13,21,16,15,19,20,6,0,54,56,2
80263,24,18,9,17,8,23,3,3,44,61,2
80264,11,19,12,12,13,28,3,3,39,62,2
80265,17,18,14,11,17,6,0,6,48,41,1
80266,12,18,15,11,9,15,0,6,36,50,2
80267,19,11,13,21,17,11,0,6,49,49,0
80268,14,19,22,10,10,18,6,0,52,47,1
80269,16,19,15,22,12,22,0,6,43,69,2
80270,13,14,12,19,15,10,0,6,40,49,2
80271,9,12,14,24,16,20,3,3,42,59,2
80272,13,18,12,12,12,12,0,6,37,48,2
80273,20,14,18,7,20,13,6,0,64,34,1
80274,12,14,11,12,12,16,6,0,41,42,2
80275,20,23,7,11,17,15,3,3,47,52,2
80276,11,19,11,8,15,15,0,6,37,48,2
80277,15,21,17,22,10,11,0,6,42,60,2
80278,11,17,12,25,14,13,0,6,37,61,2
80279,20,30,20,9,14,15,6,0,60,54,1
80280,20,14,6,14,9,15,3,3,38,46,2
80281,11,16,9,13,13,19,0,6,33,54,2
80282,20,9,13,15,8,17,6,0,47,41,1
80283,21,11,15,21,8,16,3,3,47,51,2
80284,28,17,19,12,18,14,6,0,71,43,1
80285,17,15,24,11,13,18,6,0,60,44,1
80286,13,14,22,17,22,18,3,3,60,52,1
80287,14,16,25,13,12,12,0,6,51,47,1
80288,12,5,12,13,15,18,6,0,45,36,1
80289,11,9,16,15,22,10,0,6,49,40,1
80290,18,13,14,18,24,7,0,6,56,44,1
80291,16,12,10,15,11,10,3,3,40,40,0
80292,17,18,17,17,8,13,3,3,45,51,2
80293,12,12,9,14,20,17,3,3,44,46,2
80294,12,21,13,12,12,25,0,6,37,64,2
80295,17,11,19,19,7,23,6,0,49,53,2
80296,6,10,11,19,23,7,6,0,46,36,1
80297,15,16,24,13,12,13,6,0,57,42,1
80298,26,10,24,7,21,13,3,3,74,33,1
80299,10,23,18,27,16,14,3,3,47,67,2
80300,17,25,7,19,11,26,6,0,41,70,2
80301,16,15,8,12,16,22,0,6,40,55,2
80302,14,25,24,18,10,15,0,6,48,64,2
80303,8,11,10,17,15,9,0,6,33,43,2
80304,21,13,23,13,26,17,3,3,73,46,1
80305,10,14,18,16,21,16,0,6,49,52,2
80306,9,12,15,9,21,17,6,0,51,38,1
80307,15,9,16,11,17,14,0,6,48,40,1
80308,20,15,16,22,10,10,0,6,46,53,2
80309,20,16,14,25,13,11,3,3,50,55,2
80310,20,26,20,13,14,20,6,0,60,59,1
80311,13,11,12,16,22,27,3,3,50,57,2
80312,17,17,18,19,23,17,0,6,58,59,2
80313,12,14,11,19,17,14,6,0,46,47,2
80314,12,16,9,16,13,21,6,0,40,53,2
80315,15,9,13,15,22,25,6,0,56,49,1
80316,15,16,15,20,8,22,6,0,44,58,2
80317,16,13,15,14,21,18,3,3,55,48,1
80318,18,12,12,18,18,20,3,3,51,53,2
80319,19,19,15,18,14,15,6,0,54,52,1
80320,14,21,26,14,17,13,0,6,57,54,1
80321,28,11,24,18,18,10,3,3,73,42,1
80322,9,17,12,8,12,22,3,3,36,50,2
80323,14,22,9,25,16,12,6,0,45,59,2
80324,7,8,14,17,20,23,3,3,44,51,2
80325,11,12,9,14,25,15,3,3,48,44,1
80326,11,12,17,20,18,8,0,6,46,46,0
80327,15,19,28,17,7,14,3,3,53,53,0
80328,14,14,26,15,21,16,0,6,61,51,1
80329,16,16,10,15,11,12,0,6,37,49,2
80330,19,14,17,12,23,19,3,3,62,48,1
80331,23,22,16,20,12,22,0,6,51,70,2
80332,9,22,12,23,15,22,6,0,42,67,2
80333,14,21,19,17,20,22,3,3,56,63,2
80334,23,12,16,17,20,11,6,0,65,40,1
80335,17,17,10,14,16,19,3,3,46,53,2
80336,15,11,4,11,27,12,0,6,46,40,1
80337,18,22,10,19,17,20,6,0,51,61,2
80338,24,20,21,16,19,14,6,0,70,50,1
80339,17,14,14,19,11,22,3,3,45,58,2
80340,12,16,11,11,17,10,0,6,40,43,2
80341,22,16,10,17,12,12,0,6,44,51,2
80342,27,12,15,21,18,13,0,6,60,52,1
80343,30,17,20,18,17,18,0,6,67,59,1
80344,21,11,21,11,7,16,0,6,49,44,1
80345,13,12,9,12,26,13,0,6,48,43,1
80346,9,26,25,12,11,24,6,0,51,62,2
80347,20,16,14,26,6,17,3,3,43,62,2
80348,17,16,25,16,11,17,6,0,59,49,1
80349,11,17,12,14,21,15,6,0,50,46,1
80350,21,9,21,23,22,24,3,3,67,59,1
80351,22,24,10,23,17,19,0,6,49,72,2
80352,13,16,17,19,11,13,0,6,41,54,2
80353,15,20,15,21,9,15,3,3,42,59,2
80354,24,15,15,12,17,12,0,6,56,45,1
80355,19,11,15,15,18,21,3,3,55,50,1
80356,12,16,17,15,15,13,0,6,44,50,2
80357,15,12,29,23,24,21,6,0,74,56,1
80358,18,24,18,16,14,7,0,6,50,53,2
80359,22,17,14,18,12,8,0,6,48,49,2
80360,17,13,27,19,18,14,3,3,65,49,1
80361,8,11,22,20,19,16,6,0,55,47,1
80362,10,18,18,18,23,16,3,3,54,55,2
80363,12,14,12,19,23,14,0,6,47,53,2
80364,12,16,19,17,18,20,6,0,55,53,1
80365,12,13,16,9,28,17,0,6,56,45,1
80366,28,14,18,9,13,20,0,6,59,49,1
80367,16,19,18,17,17,12,3,3,54,51,1
80368,20,9,20,27,22,13,0,6,62,55,1
80369,16,14,13,14,4,14,6,0,39,42,2
80370,17,11,17,17,15,16,0,6,49,50,2
80371,18,14,14,16,14,11,6,0,52,41,1
80372,23,18,8,14,15,16,6,0,52,48,1
80373,18,14,15,20,19,20,3,3,55,57,2
80374,19,20,17,18,12,12,3,3,51,53,2
80375,22,22,14,12,22,15,0,6,58,55,1
80376,16,12,14,12,15,17,3,3,48,44,1
80377,14,20,18,11,19,12,3,3,54,46,1
80378,16,23,15,13,13,17,0,6,44,59,2
80379,17,13,14,18,14,17,6,0,51,48,1
80380,19,16,16,16,15,23,3,3,53,58,2
80381,27,11,11,17,20,15,0,6,58,49,1
80382,15,18,16,11,20,24,3,3,54,56,2
80383,23,14,19,25,14,10,6,0,62,49,1
80384,20,16,9,19,24,12,3,3,56,50,1
80385,15,9,11,13,19,17,3,3,48,42,1
80386,19,13,25,10,14,12,0,6,58,41,1
80387,16,18,11,13,13,17,0,6,40,54,2
80388,18,14,19,14,18,14,6,0,61,42,1
80389,18,6,13,15,31,20,0,6,62,47,1
80390,28,12,12,16,17,11,3,3,60,42,1
80391,17,25,12,21,17,15,0,6,46,67,2
80392,15,23,7,17,12,20,0,6,34,66,2
80393,18,18,19,12,12,13,0,6,49,49,0
80394,12,10,24,19,23,8,0,6,59,43,1
80395,31,17,21,16,6,16,6,0,64,49,1
80396,26,18,27,16,14,17,3,3,70,54,1
80397,14,24,24,18,9,13,6,0,53,55,2
80398,12,17,18,18,20,20,0,6,50,61,2
80399,13,16,15,27,18,15,0,6,46,64,2
80400,13,18,23,16,21,9,3,3,60,46,1
80401,18,10,16,11,22,12,6,0,62,33,1
80402,8,22,6,10,14,13,0,6,28,51,2
80403,16,24,15,8,11,21,0,6,42,59,2
80404,21,17,18,12,20,12,3,3,62,44,1
80405,21,23,9,9,9,17,6,0,45,49,2
80406,15,12,14,12,17,12,0,6,46,42,1
80407,21,17,12,9,12,9,0,6,45,41,1
80408,10,19,25,16,15,16,6,0,56,51,1
80409,11,23,13,9,15,13,0,6,39,51,2
80410,10,11,14,21,9,16,6,0,39,48,2
80411,26,16,20,14,14,17,6,0,66,47,1
80412,19,8,12,19,16,20,0,6,47,53,2
80413,10,18,15,16,19,13,0,6,44,53,2
80414,11,11,12,20,12,12,0,6,35,49,2
80415,13,16,15,14,17,13,0,6,45,49,2
80416,14,17,11,23,15,13,6,0,46,53,2
80417,17,19,21,25,16,23,6,0,60,67,2
80418,24,11,8,15,10,5,0,6,42,37,1
80419,15,17,15,12,19,14,0,6,49,49,0
80420,14,23,11,18,17,13,6,0,48,54,2
80421,10,13,20,12,16,11,0,6,46,42,1
80422,11,11,9,20,27,17,6,0,53,48,1
80423,21,13,20,16,15,20,3,3,59,52,1
80424,12,13,25,21,17,12,0,6,54,52,1
80425,8,26,15,19,16,14,0,6,39,65,2
80426,18,19,14,26,14,12,0,6,46,63,2
80427,15,17,18,12,17,12,6,0,56,41,1
80428,18,15,16,15,13,14,6,0,53,44,1
80429,9,14,13,11,16,12,3,3,41,40,1
80430,9,22,15,15,15,11,0,6,39,54,2
80431,20,10,22,13,16,17,3,3,61,43,1
80432,17,18,22,23,17,9,0,6,56,56,0
80433,8,17,24,8,22,7,0,6,54,38,1
80434,9,13,20,25,18,22,6,0,53,60,2
80435,21,11,14,17,19,16,0,6,54,50,1
80436,9,15,16,16,33,9,3,3,61,43,1
80437,14,14,9,12,12,19,3,3,38,48,2
80438,25,12,15,13,16,22,6,0,62,47,1
80439,21,20,16,26,19,13,6,0,62,59,1
80440,19,11,17,15,16,20,3,3,55,49,1
80441,15,11,16,16,10,21,0,6,41,54,2
80442,11,19,16,11,25,11,3,3,55,44,1
80443,16,19,18,19,10,12,6,0,50,50,0
80444,11,13,25,15,29,12,0,6,65,46,1
80445,11,8,20,27,7,11,0,6,38,52,2
80446,15,25,22,16,15,9,3,3,55,53,1
80447,10,17,15,7,22,16,3,3,50,43,1
80448,16,13,18,14,21,13,0,6,55,46,1
80449,16,11,20,25,10,16,6,0,52,52,0
80450,24,15,13,13,10,17,3,3,50,48,1
80451,10,16,23,11,10,14,6,0,49,41,1
80452,19,6,11,9,13,16,6,0,49,31,1
80453,21,18,20,9,15,17,6,0,62,44,1
80454,16,20,18,20,19,14,0,6,53,60,2
80455,12,22,21,24,16,11,3,3,52,60,2
80456,20,22,20,13,15,16,3,3,58,54,1
80457,10,16,17,12,11,7,6,0,44,35,1
80458,14,29,16,12,13,16,6,0,49,57,2
80459,11,18,9,20,18,17,6,0,44,55,2
80460,22,10,10,7,10,19,6,0,48,36,1
80461,10,19,19,8,23,27,3,3,55,57,2
