game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
19000,12,24,26,12,21,11,6,0,65,47,1
19001,23,18,7,20,12,16,3,3,45,57,2
19002,17,11,15,18,16,13,6,0,54,42,1
19003,13,9,14,10,8,21,6,0,41,40,1
19004,17,15,19,12,14,25,6,0,56,52,1
19005,15,14,15,20,21,22,3,3,54,59,2
19006,18,10,15,19,18,15,6,0,57,44,1
19007,18,24,16,18,16,10,3,3,53,55,2
19008,16,24,10,17,7,17,3,3,36,61,2
19009,20,10,13,8,16,16,3,3,52,37,1
19010,16,16,17,17,11,17,3,3,47,53,2
19011,8,20,21,16,19,18,0,6,48,60,2
19012,14,17,9,11,15,18,6,0,44,46,2
19013,7,16,21,13,13,19,3,3,44,51,2
19014,21,24,17,14,20,21,0,6,58,65,2
19015,13,20,27,18,23,20,0,6,63,64,2
19016,20,12,30,12,14,8,0,6,64,38,1
19017,9,12,17,17,14,10,6,0,46,39,1
19018,16,21,14,22,26,15,0,6,56,64,2
19019,13,16,17,19,20,13,3,3,53,51,1
19020,20,11,15,13,13,18,0,6,48,48,0
19021,15,14,30,16,16,20,3,3,64,53,1
19022,18,21,12,15,19,18,3,3,52,57,2
19023,14,24,15,19,25,22,3,3,57,68,2
19024,8,6,16,21,17,15,0,6,41,48,2
19025,23,19,20,14,9,9,0,6,52,48,1
19026,22,10,24,15,18,10,0,6,64,41,1
19027,18,9,16,14,16,21,6,0,56,44,1
19028,8,9,19,18,14,13,0,6,41,46,2
19029,21,18,20,12,23,19,6,0,70,49,1
19030,16,11,11,14,18,19,0,6,45,50,2
19031,14,12,14,17,29,17,0,6,57,52,1
19032,18,16,9,8,21,15,3,3,51,42,1
19033,24,16,18,25,12,8,0,6,54,55,2
19034,14,15,24,13,12,14,0,6,50,48,1
19035,13,22,12,28,13,14,6,0,44,64,2
19036,19,17,13,15,15,17,3,3,50,52,2
19037,14,19,20,14,19,10,3,3,56,46,1
19038,22,12,12,17,22,14,3,3,59,46,1
19039,17,17,22,10,20,14,3,3,62,44,1
19040,21,11,13,20,23,19,0,6,57,56,1
19041,10,13,19,16,14,6,0,6,43,41,1
19042,25,15,15,15,22,15,0,6,62,51,1
19043,12,19,18,15,13,11,6,0,49,45,1
19044,15,9,24,13,20,12,0,6,59,40,1
19045,24,13,12,18,17,15,6,0,59,46,1
19046,14,15,17,13,20,22,6,0,57,50,1
19047,23,15,25,15,20,19,6,0,74,49,1
19048,19,18,12,21,19,11,6,0,56,50,1
19049,17,20,13,14,23,19,3,3,56,56,0
19050,14,11,18,12,13,19,3,3,48,45,1
