place,date,verification_status,emulator,platform,region,realtime
259,2016-07-30,verified,False,v06dk3e4,pr184lqn,5109
260,2016-02-25,verified,False,4p9z06rn,e6lxy1dz,5113
260,2020-10-13,verified,False,v06dk3e4,pr184lqn,5113
262,2020-07-15,verified,False,v06dk3e4,pr184lqn,5118
263,2014-12-03,verified,False,v06dk3e4,pr184lqn,5119
264,2018-01-29,verified,False,v06dk3e4,e6lxy1dz,5121
264,2020-01-17,verified,False,v06dk3e4,o316x197,5121
266,2021-05-28,verified,False,v06dk3e4,e6lxy1dz,5123
267,2020-03-05,verified,False,v06dk3e4,pr184lqn,5124
268,2014-03-22,verified,False,v06dk3e4,pr184lqn,5125
268,2019-02-05,verified,False,v06dk3e4,o316x197,5125
270,2017-05-30,verified,False,v06dk3e4,o316x197,5132
270,2017-06-27,verified,False,v06dk3e4,e6lxy1dz,5132
272,2018-09-06,verified,False,v06dk3e4,o316x197,5133
273,2016-08-19,verified,False,v06dk3e4,pr184lqn,5136
273,2018-03-05,verified,False,v06dk3e4,o316x197,5136
275,2016-01-28,verified,False,v06dk3e4,pr184lqn,5148
276,2015-04-26,verified,False,v06dk3e4,e6lxy1dz,5149
277,2020-12-26,verified,False,4p9z06rn,pr184lqn,5153
278,2018-06-23,verified,False,4p9z06rn,pr184lqn,5154
278,2020-05-14,verified,False,v06dk3e4,pr184lqn,5154
278,2021-02-20,verified,False,v06dk3e4,e6lxy1dz,5154
281,2015-04-13,verified,False,v06dk3e4,o316x197,5156
282,2019-05-13,verified,False,v06dk3e4,pr184lqn,5158
283,2017-06-04,verified,False,v06dk3e4,pr184lqn,5164
283,2020-06-20,verified,False,v06dk3e4,pr184lqn,5164
285,2015-05-15,verified,False,v06dk3e4,e6lxy1dz,5165
286,2020-03-31,verified,False,v06dk3e4,pr184lqn,5169
287,2016-12-22,verified,False,v06dk3e4,pr184lqn,5170
288,2016-07-10,verified,False,v06dk3e4,pr184lqn,5171
289,2014-03-03,verified,False,v06dk3e4,pr184lqn,5173
290,2020-06-08,verified,False,v06dk3e4,o316x197,5175
291,2016-11-10,verified,False,v06dk3e4,pr184lqn,5178
292,2020-05-22,verified,True,4p9z06rn,o316x197,5181
293,2017-01-26,verified,False,v06dk3e4,pr184lqn,5183
294,2016-02-01,verified,False,v06dk3e4,pr184lqn,5184
294,2021-04-09,verified,False,v06dk3e4,o316x197,5184
296,2017-01-20,verified,False,4p9z06rn,pr184lqn,5190
297,2014-05-02,verified,False,v06dk3e4,o316x197,5193
297,2019-12-09,verified,False,v06dk3e4,pr184lqn,5193
299,2015-03-14,verified,False,v06dk3e4,pr184lqn,5195
299,2017-04-14,verified,False,v06dk3e4,o316x197,5195
301,2014-03-11,verified,False,v06dk3e4,e6lxy1dz,5198
301,2014-12-16,verified,False,v06dk3e4,e6lxy1dz,5198
303,2017-01-16,verified,False,v06dk3e4,pr184lqn,5202
304,2016-06-04,verified,False,v06dk3e4,pr184lqn,5203
305,2020-09-01,verified,False,v06dk3e4,pr184lqn,5205
306,2014-08-08,verified,False,v06dk3e4,o316x197,5208
307,2016-11-06,verified,False,v06dk3e4,pr184lqn,5213
308,2015-04-18,verified,False,v06dk3e4,o316x197,5214
