"","Anime_Name","Start_Month","Start_Year","End_Month","End_Year","Anime_Rating","Anime_Type","Number_Episodes"
"130","JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season","Jan",2015,"Jun",2015,8.44,"TV ",24
"131","Kaze ga Tsuyoku Fuiteiru","Oct",2018,"Mar",2019,8.44,"TV ",23
"132","Koukaku Kidoutai: Stand Alone Complex","Oct",2002,"Oct",2003,8.44,"TV ",26
"133","Major S5","Jan",2009,"Jun",2009,8.44,"TV ",25
"134","Mushoku Tensei: Isekai Ittara Honki Dasu","Jan",2021,"Mar",2021,8.44,"TV ",11
"135","Kara no Kyoukai 7: Satsujin Kousatsu (Go)","Aug",2009,"Aug",2009,8.43,"Movie ",1
"136","Mo Dao Zu Shi 2nd Season","Aug",2019,"Sep",2019,8.43,"ONA ",8
"137","Mononoke","Jul",2007,"Sep",2007,8.43,"TV ",12
"138","3-gatsu no Lion","Oct",2016,"Mar",2017,8.42,"TV ",22
"139","Chihayafuru 2","Jan",2013,"Jun",2013,8.42,"TV ",25
"140","Cross Game","Apr",2009,"Mar",2010,8.42,"TV ",50
"141","Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen","Jan",2019,"Mar",2019,8.42,"TV ",12
"142","Kono Oto Tomare! 2nd Season","Oct",2019,"Dec",2019,8.42,"TV ",13
"143","Usagi Drop","Jul",2011,"Sep",2011,8.42,"TV ",11
"144","Natsume Yuujinchou Movie: Utsusemi ni Musubu","Sep",2018,"Sep",2018,8.41,"Movie ",1
"145","Baccano!","Jul",2007,"Nov",2007,8.41,"TV ",13
"146","Barakamon","Jul",2014,"Sep",2014,8.41,"TV ",12
"147","Gintama°: Aizome Kaori-hen","Aug",2016,"Nov",2016,8.41,"OVA ",2
"148","Grand Blue","Jul",2018,"Sep",2018,8.41,"TV ",12
"149","Houseki no Kuni (TV)","Oct",2017,"Dec",2017,8.41,"TV ",12
"150","Hunter x Hunter","Oct",1999,"Mar",2001,8.41,"TV ",62
"151","Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.","Apr",2011,"Jun",2011,8.4,"TV ",11
"152","Kizumonogatari I: Tekketsu-hen","Jan",2016,"Jan",2016,8.4,"Movie ",1
"153","Natsume Yuujinchou Roku Specials","Sep",2017,"Oct",2017,8.4,"Special ",2
"154","Non Non Biyori Nonstop","Jan",2021,"Mar",2021,8.4,"TV ",12
"155","Shingeki no Kyojin: Kuinaki Sentaku","Dec",2014,"Apr",2015,8.4,"OVA ",2
"156","Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou","Sep",2019,"Sep",2019,8.4,"Movie ",1
"157","Tenki no Ko","Jul",2019,"Jul",2019,8.39,"Movie ",1
"158","Bakuman. 2nd Season","Oct",2011,"Mar",2012,8.39,"TV ",25
"159","Cowboy Bebop: Tengoku no Tobira","Sep",2001,"Sep",2001,8.39,"Movie ",1
"160","Douluo Dalu: Xiaowu Juebie","May",2020,"Aug",2020,8.39,"ONA ",13
"161","Hellsing Ultimate","Feb",2006,"Dec",2012,8.39,"OVA ",10
"162","Kaze no Tani no Nausicaä","Mar",1984,"Mar",1984,8.39,"Movie ",1
"163","Kiseijuu: Sei no Kakuritsu","Oct",2014,"Mar",2015,8.39,"TV ",24
"164","Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari","Oct",2012,"Oct",2012,8.39,"Movie ",1
"165","Kingdom 2nd Season","Jun",2013,"Mar",2014,8.38,"TV ",39
"166","Haikyuu!!: To the Top","Jan",2020,"Apr",2020,8.37,"TV ",13
"167","Hotarubi no Mori e","Sep",2011,"Sep",2011,8.37,"Movie ",1
"168","Kamisama Hajimemashita: Kako-hen","Aug",2015,"Aug",2016,8.37,"OVA ",4
"169","Kingdom 3rd Season","Apr",2020,NA,NA,8.37,"TV ",NA
"170","Luo Xiao Hei Zhan Ji (Movie)","Sep",2019,"Sep",2019,8.37,"Movie ",1
"171","Mahou Shoujo Madoka★Magica","Jan",2011,"Apr",2011,8.37,"TV ",12
"172","Major S6","Apr",2010,"Sep",2010,8.37,"TV ",25
"173","Psycho-Pass","Oct",2012,"Mar",2013,8.37,"TV ",22
"174","Tensei shitara Slime Datta Ken 2nd Season","Jan",2021,"Mar",2021,8.37,"TV ",12
