1,"[[-2.2], [-0.40000000000000013]]","[[6.601887280017819], [-5.368601247493873]]",0.05,9.352000000000004,14.352000000000004
149,"[[nan], [nan]]","[[nan], [nan]]",6.96898287454082e+40,nan,nan
150,"[[nan], [nan]]","[[nan], [nan]]",1.393796574908164e+41,nan,nan
151,"[[nan], [nan]]","[[nan], [nan]]",2.787593149816328e+41,nan,nan
152,"[[nan], [nan]]","[[nan], [nan]]",5.575186299632656e+41,nan,nan
153,"[[nan], [nan]]","[[nan], [nan]]",1.1150372599265312e+42,nan,nan
154,"[[nan], [nan]]","[[nan], [nan]]",2.2300745198530624e+42,nan,nan
155,"[[nan], [nan]]","[[nan], [nan]]",4.460149039706125e+42,nan,nan
156,"[[nan], [nan]]","[[nan], [nan]]",8.92029807941225e+42,nan,nan
157,"[[nan], [nan]]","[[nan], [nan]]",1.78405961588245e+43,nan,nan
158,"[[nan], [nan]]","[[nan], [nan]]",3.5681192317649e+43,nan,nan
159,"[[nan], [nan]]","[[nan], [nan]]",7.1362384635298e+43,nan,nan
160,"[[nan], [nan]]","[[nan], [nan]]",1.42724769270596e+44,nan,nan
161,"[[nan], [nan]]","[[nan], [nan]]",2.85449538541192e+44,nan,nan
162,"[[nan], [nan]]","[[nan], [nan]]",5.70899077082384e+44,nan,nan
163,"[[nan], [nan]]","[[nan], [nan]]",1.141798154164768e+45,nan,nan
164,"[[nan], [nan]]","[[nan], [nan]]",2.283596308329536e+45,nan,nan
165,"[[nan], [nan]]","[[nan], [nan]]",4.567192616659072e+45,nan,nan
166,"[[nan], [nan]]","[[nan], [nan]]",9.134385233318144e+45,nan,nan
167,"[[nan], [nan]]","[[nan], [nan]]",1.8268770466636287e+46,nan,nan
168,"[[nan], [nan]]","[[nan], [nan]]",3.6537540933272575e+46,nan,nan
169,"[[nan], [nan]]","[[nan], [nan]]",7.307508186654515e+46,nan,nan
170,"[[nan], [nan]]","[[nan], [nan]]",1.461501637330903e+47,nan,nan
171,"[[nan], [nan]]","[[nan], [nan]]",2.923003274661806e+47,nan,nan
172,"[[nan], [nan]]","[[nan], [nan]]",5.846006549323612e+47,nan,nan
173,"[[nan], [nan]]","[[nan], [nan]]",1.1692013098647224e+48,nan,nan
174,"[[nan], [nan]]","[[nan], [nan]]",2.3384026197294448e+48,nan,nan
175,"[[nan], [nan]]","[[nan], [nan]]",4.6768052394588896e+48,nan,nan
176,"[[nan], [nan]]","[[nan], [nan]]",9.353610478917779e+48,nan,nan
177,"[[nan], [nan]]","[[nan], [nan]]",1.8707220957835558e+49,nan,nan
178,"[[nan], [nan]]","[[nan], [nan]]",3.7414441915671117e+49,nan,nan
179,"[[nan], [nan]]","[[nan], [nan]]",7.482888383134223e+49,nan,nan
180,"[[nan], [nan]]","[[nan], [nan]]",1.4965776766268447e+50,nan,nan
181,"[[nan], [nan]]","[[nan], [nan]]",2.9931553532536893e+50,nan,nan
182,"[[nan], [nan]]","[[nan], [nan]]",5.986310706507379e+50,nan,nan
183,"[[nan], [nan]]","[[nan], [nan]]",1.1972621413014757e+51,nan,nan
184,"[[nan], [nan]]","[[nan], [nan]]",2.3945242826029515e+51,nan,nan
185,"[[nan], [nan]]","[[nan], [nan]]",4.789048565205903e+51,nan,nan
186,"[[nan], [nan]]","[[nan], [nan]]",9.578097130411806e+51,nan,nan
187,"[[nan], [nan]]","[[nan], [nan]]",1.9156194260823612e+52,nan,nan
188,"[[nan], [nan]]","[[nan], [nan]]",3.8312388521647224e+52,nan,nan
189,"[[nan], [nan]]","[[nan], [nan]]",7.662477704329445e+52,nan,nan
190,"[[nan], [nan]]","[[nan], [nan]]",1.532495540865889e+53,nan,nan
191,"[[nan], [nan]]","[[nan], [nan]]",3.064991081731778e+53,nan,nan
192,"[[nan], [nan]]","[[nan], [nan]]",6.129982163463556e+53,nan,nan
193,"[[nan], [nan]]","[[nan], [nan]]",1.2259964326927112e+54,nan,nan
194,"[[nan], [nan]]","[[nan], [nan]]",2.4519928653854223e+54,nan,nan
195,"[[nan], [nan]]","[[nan], [nan]]",4.9039857307708446e+54,nan,nan
196,"[[nan], [nan]]","[[nan], [nan]]",9.807971461541689e+54,nan,nan
197,"[[nan], [nan]]","[[nan], [nan]]",1.9615942923083378e+55,nan,nan
198,"[[nan], [nan]]","[[nan], [nan]]",3.9231885846166757e+55,nan,nan
199,"[[nan], [nan]]","[[nan], [nan]]",7.846377169233351e+55,nan,nan
200,"[[nan], [nan]]","[[nan], [nan]]",1.5692754338466703e+56,nan,nan
201,"[[nan], [nan]]","[[nan], [nan]]",3.1385508676933406e+56,nan,nan
202,"[[nan], [nan]]","[[nan], [nan]]",6.277101735386681e+56,nan,nan
203,"[[nan], [nan]]","[[nan], [nan]]",1.2554203470773362e+57,nan,nan
204,"[[nan], [nan]]","[[nan], [nan]]",2.5108406941546724e+57,nan,nan
205,"[[nan], [nan]]","[[nan], [nan]]",5.021681388309345e+57,nan,nan
206,"[[nan], [nan]]","[[nan], [nan]]",1.004336277661869e+58,nan,nan
207,"[[nan], [nan]]","[[nan], [nan]]",2.008672555323738e+58,nan,nan
208,"[[nan], [nan]]","[[nan], [nan]]",4.017345110647476e+58,nan,nan
209,"[[nan], [nan]]","[[nan], [nan]]",8.034690221294952e+58,nan,nan
210,"[[nan], [nan]]","[[nan], [nan]]",1.6069380442589904e+59,nan,nan
211,"[[nan], [nan]]","[[nan], [nan]]",3.2138760885179807e+59,nan,nan
212,"[[nan], [nan]]","[[nan], [nan]]",6.4277521770359615e+59,nan,nan
213,"[[nan], [nan]]","[[nan], [nan]]",1.2855504354071923e+60,nan,nan
214,"[[nan], [nan]]","[[nan], [nan]]",2.5711008708143846e+60,nan,nan
215,"[[nan], [nan]]","[[nan], [nan]]",5.142201741628769e+60,nan,nan
216,"[[nan], [nan]]","[[nan], [nan]]",1.0284403483257538e+61,nan,nan
217,"[[nan], [nan]]","[[nan], [nan]]",2.0568806966515077e+61,nan,nan
218,"[[nan], [nan]]","[[nan], [nan]]",4.1137613933030153e+61,nan,nan
219,"[[nan], [nan]]","[[nan], [nan]]",8.227522786606031e+61,nan,nan
220,"[[nan], [nan]]","[[nan], [nan]]",1.6455045573212061e+62,nan,nan
221,"[[nan], [nan]]","[[nan], [nan]]",3.2910091146424123e+62,nan,nan
222,"[[nan], [nan]]","[[nan], [nan]]",6.5820182292848245e+62,nan,nan
223,"[[nan], [nan]]","[[nan], [nan]]",1.3164036458569649e+63,nan,nan
224,"[[nan], [nan]]","[[nan], [nan]]",2.6328072917139298e+63,nan,nan
225,"[[nan], [nan]]","[[nan], [nan]]",5.2656145834278596e+63,nan,nan
226,"[[nan], [nan]]","[[nan], [nan]]",1.0531229166855719e+64,nan,nan
227,"[[nan], [nan]]","[[nan], [nan]]",2.1062458333711439e+64,nan,nan
228,"[[nan], [nan]]","[[nan], [nan]]",4.2124916667422877e+64,nan,nan
229,"[[nan], [nan]]","[[nan], [nan]]",8.424983333484575e+64,nan,nan
230,"[[nan], [nan]]","[[nan], [nan]]",1.684996666696915e+65,nan,nan
231,"[[nan], [nan]]","[[nan], [nan]]",3.36999333339383e+65,nan,nan
232,"[[nan], [nan]]","[[nan], [nan]]",6.73998666678766e+65,nan,nan
233,"[[nan], [nan]]","[[nan], [nan]]",1.347997333357532e+66,nan,nan
234,"[[nan], [nan]]","[[nan], [nan]]",2.695994666715064e+66,nan,nan
235,"[[nan], [nan]]","[[nan], [nan]]",5.391989333430128e+66,nan,nan
236,"[[nan], [nan]]","[[nan], [nan]]",1.0783978666860257e+67,nan,nan
237,"[[nan], [nan]]","[[nan], [nan]]",2.1567957333720513e+67,nan,nan
238,"[[nan], [nan]]","[[nan], [nan]]",4.3135914667441026e+67,nan,nan
239,"[[nan], [nan]]","[[nan], [nan]]",8.627182933488205e+67,nan,nan
240,"[[nan], [nan]]","[[nan], [nan]]",1.725436586697641e+68,nan,nan
241,"[[nan], [nan]]","[[nan], [nan]]",3.450873173395282e+68,nan,nan
242,"[[nan], [nan]]","[[nan], [nan]]",6.901746346790564e+68,nan,nan
243,"[[nan], [nan]]","[[nan], [nan]]",1.3803492693581128e+69,nan,nan
244,"[[nan], [nan]]","[[nan], [nan]]",2.7606985387162257e+69,nan,nan
245,"[[nan], [nan]]","[[nan], [nan]]",5.521397077432451e+69,nan,nan
246,"[[nan], [nan]]","[[nan], [nan]]",1.1042794154864903e+70,nan,nan
247,"[[nan], [nan]]","[[nan], [nan]]",2.2085588309729805e+70,nan,nan
248,"[[nan], [nan]]","[[nan], [nan]]",4.417117661945961e+70,nan,nan
249,"[[nan], [nan]]","[[nan], [nan]]",8.834235323891922e+70,nan,nan
250,"[[nan], [nan]]","[[nan], [nan]]",1.7668470647783844e+71,nan,nan
251,"[[nan], [nan]]","[[nan], [nan]]",3.533694129556769e+71,nan,nan
252,"[[nan], [nan]]","[[nan], [nan]]",7.067388259113538e+71,nan,nan
253,"[[nan], [nan]]","[[nan], [nan]]",1.4134776518227075e+72,nan,nan
254,"[[nan], [nan]]","[[nan], [nan]]",2.826955303645415e+72,nan,nan
255,"[[nan], [nan]]","[[nan], [nan]]",5.65391060729083e+72,nan,nan
256,"[[nan], [nan]]","[[nan], [nan]]",1.130782121458166e+73,nan,nan
257,"[[nan], [nan]]","[[nan], [nan]]",2.261564242916332e+73,nan,nan
258,"[[nan], [nan]]","[[nan], [nan]]",4.523128485832664e+73,nan,nan
259,"[[nan], [nan]]","[[nan], [nan]]",9.046256971665328e+73,nan,nan
260,"[[nan], [nan]]","[[nan], [nan]]",1.8092513943330657e+74,nan,nan
261,"[[nan], [nan]]","[[nan], [nan]]",3.6185027886661313e+74,nan,nan
262,"[[nan], [nan]]","[[nan], [nan]]",7.237005577332263e+74,nan,nan
263,"[[nan], [nan]]","[[nan], [nan]]",1.4474011154664525e+75,nan,nan
264,"[[nan], [nan]]","[[nan], [nan]]",2.894802230932905e+75,nan,nan
265,"[[nan], [nan]]","[[nan], [nan]]",5.78960446186581e+75,nan,nan
266,"[[nan], [nan]]","[[nan], [nan]]",1.157920892373162e+76,nan,nan
267,"[[nan], [nan]]","[[nan], [nan]]",2.315841784746324e+76,nan,nan
268,"[[nan], [nan]]","[[nan], [nan]]",4.631683569492648e+76,nan,nan
269,"[[nan], [nan]]","[[nan], [nan]]",9.263367138985296e+76,nan,nan
270,"[[nan], [nan]]","[[nan], [nan]]",1.8526734277970592e+77,nan,nan
271,"[[nan], [nan]]","[[nan], [nan]]",3.7053468555941185e+77,nan,nan
272,"[[nan], [nan]]","[[nan], [nan]]",7.410693711188237e+77,nan,nan
273,"[[nan], [nan]]","[[nan], [nan]]",1.4821387422376474e+78,nan,nan
274,"[[nan], [nan]]","[[nan], [nan]]",2.9642774844752948e+78,nan,nan
275,"[[nan], [nan]]","[[nan], [nan]]",5.9285549689505895e+78,nan,nan
276,"[[nan], [nan]]","[[nan], [nan]]",1.1857109937901179e+79,nan,nan
277,"[[nan], [nan]]","[[nan], [nan]]",2.3714219875802358e+79,nan,nan
278,"[[nan], [nan]]","[[nan], [nan]]",4.7428439751604716e+79,nan,nan
279,"[[nan], [nan]]","[[nan], [nan]]",9.485687950320943e+79,nan,nan
280,"[[nan], [nan]]","[[nan], [nan]]",1.8971375900641887e+80,nan,nan
281,"[[nan], [nan]]","[[nan], [nan]]",3.7942751801283773e+80,nan,nan
282,"[[nan], [nan]]","[[nan], [nan]]",7.588550360256755e+80,nan,nan
283,"[[nan], [nan]]","[[nan], [nan]]",1.517710072051351e+81,nan,nan
284,"[[nan], [nan]]","[[nan], [nan]]",3.035420144102702e+81,nan,nan
285,"[[nan], [nan]]","[[nan], [nan]]",6.070840288205404e+81,nan,nan
286,"[[nan], [nan]]","[[nan], [nan]]",1.2141680576410807e+82,nan,nan
287,"[[nan], [nan]]","[[nan], [nan]]",2.4283361152821615e+82,nan,nan
288,"[[nan], [nan]]","[[nan], [nan]]",4.856672230564323e+82,nan,nan
289,"[[nan], [nan]]","[[nan], [nan]]",9.713344461128646e+82,nan,nan
290,"[[nan], [nan]]","[[nan], [nan]]",1.9426688922257292e+83,nan,nan
291,"[[nan], [nan]]","[[nan], [nan]]",3.8853377844514584e+83,nan,nan
292,"[[nan], [nan]]","[[nan], [nan]]",7.770675568902917e+83,nan,nan
293,"[[nan], [nan]]","[[nan], [nan]]",1.5541351137805833e+84,nan,nan
294,"[[nan], [nan]]","[[nan], [nan]]",3.1082702275611667e+84,nan,nan
295,"[[nan], [nan]]","[[nan], [nan]]",6.216540455122333e+84,nan,nan
296,"[[nan], [nan]]","[[nan], [nan]]",1.2433080910244667e+85,nan,nan
297,"[[nan], [nan]]","[[nan], [nan]]",2.4866161820489333e+85,nan,nan
298,"[[nan], [nan]]","[[nan], [nan]]",4.973232364097867e+85,nan,nan
299,"[[nan], [nan]]","[[nan], [nan]]",9.946464728195733e+85,nan,nan
300,"[[nan], [nan]]","[[nan], [nan]]",1.9892929456391467e+86,nan,nan
301,"[[nan], [nan]]","[[nan], [nan]]",3.9785858912782934e+86,nan,nan
302,"[[nan], [nan]]","[[nan], [nan]]",7.957171782556587e+86,nan,nan
303,"[[nan], [nan]]","[[nan], [nan]]",1.5914343565113173e+87,nan,nan
304,"[[nan], [nan]]","[[nan], [nan]]",3.1828687130226347e+87,nan,nan
305,"[[nan], [nan]]","[[nan], [nan]]",6.365737426045269e+87,nan,nan
306,"[[nan], [nan]]","[[nan], [nan]]",1.2731474852090539e+88,nan,nan
307,"[[nan], [nan]]","[[nan], [nan]]",2.5462949704181077e+88,nan,nan
308,"[[nan], [nan]]","[[nan], [nan]]",5.0925899408362155e+88,nan,nan
309,"[[nan], [nan]]","[[nan], [nan]]",1.0185179881672431e+89,nan,nan
310,"[[nan], [nan]]","[[nan], [nan]]",2.0370359763344862e+89,nan,nan
311,"[[nan], [nan]]","[[nan], [nan]]",4.0740719526689724e+89,nan,nan
312,"[[nan], [nan]]","[[nan], [nan]]",8.148143905337945e+89,nan,nan
313,"[[nan], [nan]]","[[nan], [nan]]",1.629628781067589e+90,nan,nan
314,"[[nan], [nan]]","[[nan], [nan]]",3.259257562135178e+90,nan,nan
315,"[[nan], [nan]]","[[nan], [nan]]",6.518515124270356e+90,nan,nan
316,"[[nan], [nan]]","[[nan], [nan]]",1.3037030248540712e+91,nan,nan
317,"[[nan], [nan]]","[[nan], [nan]]",2.6074060497081423e+91,nan,nan
318,"[[nan], [nan]]","[[nan], [nan]]",5.214812099416285e+91,nan,nan
319,"[[nan], [nan]]","[[nan], [nan]]",1.042962419883257e+92,nan,nan
320,"[[nan], [nan]]","[[nan], [nan]]",2.085924839766514e+92,nan,nan
321,"[[nan], [nan]]","[[nan], [nan]]",4.171849679533028e+92,nan,nan
322,"[[nan], [nan]]","[[nan], [nan]]",8.343699359066055e+92,nan,nan
323,"[[nan], [nan]]","[[nan], [nan]]",1.668739871813211e+93,nan,nan
324,"[[nan], [nan]]","[[nan], [nan]]",3.337479743626422e+93,nan,nan
325,"[[nan], [nan]]","[[nan], [nan]]",6.674959487252844e+93,nan,nan
326,"[[nan], [nan]]","[[nan], [nan]]",1.3349918974505689e+94,nan,nan
327,"[[nan], [nan]]","[[nan], [nan]]",2.6699837949011378e+94,nan,nan
328,"[[nan], [nan]]","[[nan], [nan]]",5.3399675898022755e+94,nan,nan
329,"[[nan], [nan]]","[[nan], [nan]]",1.0679935179604551e+95,nan,nan
